"collection","files","gui","jdbc","reflection","servlet","socket","thread","user"
3,2,3,2,0,1,1,3,"USER1"
0,0,3,1,0,1,1,2,"USER2"
1,1,1,0,0,1,2,2,"USER3"
2,1,2,1,0,0,1,2,"USER4"
2,3,4,2,0,1,2,3,"USER5"
2,2,4,2,0,1,3,4,"USER6"
0,2,0,0,0,0,1,3,"USER7"
3,2,3,4,0,1,0,2,"USER8"
1,0,0,2,0,2,2,2,"USER9"
3,3,1,3,0,3,1,3,"USER10"
1,1,3,1,0,0,0,3,"USER11"
1,1,3,1,0,1,0,4,"USER12"
0,3,0,0,0,0,1,1,"USER13"
0,1,0,1,0,0,0,4,"USER14"
2,2,1,1,0,2,0,2,"USER15"
0,0,3,0,0,0,0,2,"USER16"
2,3,2,1,0,0,0,4,"USER17"
0,1,1,1,1,0,1,1,"USER18"
2,2,2,2,1,1,1,3,"USER19"
1,2,2,1,1,1,1,2,"USER20"
2,2,4,1,0,1,0,3,"USER21"
1,1,2,1,1,1,1,3,"USER22"
1,1,3,0,0,1,0,4,"USER23"
2,3,3,2,1,2,2,3,"USER24"
2,3,1,2,2,1,1,2,"USER25"
4,4,4,4,1,4,4,4,"USER26"
4,4,3,3,3,2,3,3,"USER27"
1,2,1,0,0,0,1,1,"USER28"
3,1,2,2,0,2,1,1,"USER29"
3,3,2,2,2,0,2,3,"USER30"
4,3,2,3,0,2,1,3,"USER31"
3,1,0,1,0,1,1,1,"USER32"
2,4,3,2,1,2,3,2,"USER33"
4,3,3,3,1,3,3,3,"USER34"
1,3,3,2,0,1,2,3,"USER35"
3,3,4,2,0,3,3,3,"USER36"
4,4,4,3,0,3,3,3,"USER37"
4,4,4,3,0,3,3,3,"USER38"
3,3,4,1,0,2,3,2,"USER39"
3,4,3,2,0,3,3,3,"USER40"
3,4,4,3,2,2,3,3,"USER41"
2,4,1,3,1,1,1,3,"USER42"
3,3,0,2,2,2,2,3,"USER43"
1,2,2,1,0,1,1,2,"USER44"
4,4,4,2,0,3,3,4,"USER45"
3,3,3,1,0,2,2,3,"USER46"
3,3,3,3,3,3,3,3,"USER47"
2,3,2,3,1,4,4,3,"USER48"
2,3,1,1,1,1,2,3,"USER49"
2,3,1,2,1,2,2,3,"USER50"
